name,country,region,sub_region,grape_varietal,wine_type,bottle_price,sale_price,description,merchant,address
 Sutter Home  Pinot Grigio,United States,California,N/A,Pinot Gris,Still wine,$12.99,$9.97,"At Trinchero Family Estates, our passion for winemaking and delivering the most inspiring flavors from around the globe began more than 60 years ago. In 1947, brothers John and Mario Trinchero traveled to St. Helena, California, near the renowned Napa Valley growing region, and purchased Sutter Home Winery. With its first Sutter Home harvest in 1948, the Trinchero Family crushed three tons of grapes, beginning a long and fruitful history as one of the world’s leading producers of fine wines.As the Trinchero family expanded, so too did the company. Mario’s son Bob joined the team in 1958, eventually becoming the head winemaker after his uncle John retired. Bob focused on growing his family’s efforts, and just 10 years after coming on board, he helped Sutter Home become the first north coast winery to produce commercial wine from Sierra Foothill grapes. He even developed the revolutionary White Zinfandel varietal, which he perfected through innovation, creativity, and a bit of luck in suffering through a ”stuck” fermentation in 1975. With the help of his brother Roger, his wife Evelyn, and his sister Vera, Bob was able to capitalize on the growing demand for White Zinfandel and expand Sutter Home even further.In the 1980s and 1990s, the Trinchero family continued its efforts to produce high-quality, affordably priced varietal wines by purchasing several more California vineyards in areas with choice weather and soil conditions. The family has never lost sight of Sutter Home’s original philosophy to offer ”a great product for a fair price,” even as it acquired more vineyards and additional wineries.Today, with Roger Trinchero leading the way, Trinchero Family Estates represents over 27 brands in the United States and Australia, including Sutter Home, Little Boomey, Menage a Trois, Napa Cellars, and Trinchero Napa Valley. Sutter Home is also the proud sponsor of the Build a Better Burger contest, which pits culinary contestants in an annual burger cookoff to win cash prizes and bragging rites. In all, the last 60 years have been a period of heavy growth and exciting innovation for the Trinchero family, and we look forward to enjoying many more successful years to come.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Jam Jar Sweet Red - Shiraz,South Africa,Western Cape,N/A,Syrah,Still wine,,$9.99,"Jam Jar was born out of the realization that there are not a lot of options available to consumers seeking quality sweet wine. The fresh, fruity Moscato and Sweet Shiraz aim to fill that void. Refreshing and approachable with a perfect balance between sweetness and acidity, Jam Jar Wines are sweet perfection...Simple, pure and honest!",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Chateau St. Michelle Cabernet Sauvignon,United States,Washington,Columbia Valley,Cabernet Sauvignon,Still wine,$21.19,$15.99,"Founded in 1934, Chateau Ste. Michelle pioneered vinifera grape growing in Washington state and has been producing classic European varietal wines under the Ste. Michelle label since 1967. The winery combines an ongoing dedication to research with a commitment to classic winemaking traditions. The winery owns 3,500 acres of vineyards in the Columbia Valley of eastern Washington, including Canoe Ridge Estate and Cold Creek, which are the largest sustainably farmed and LIVE and Salmon Safe certified vineyards in the state.Chateau Ste. Michelle enjoys winemaking partnerships with three of the world’s most distinguished vintners. Col Solare is an alliance with Tuscany’s Piero Antinori, Eroica Riesling is a partnership with the Mosel’s Ernst Loosen, and Tenet, a project with acclaimed Rhone winemaker Michel Gassier, with the assistance of Southern Rhone’s famous enology consultant, Philippe Cambie",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Robert Mondavi Private Selection Chardonnay,United States,California,Central Coast,Chardonnay,Still wine,$9.97,$8.97,Chardonnay is the most popular wine in the U.S. for a reason. Grown in a chilly place like the northern Central Coast it’s even better. Do your own taste test #RMPS,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Bota Box Merlot,United States,California,N/A,Merlot,Still wine,$26.99,$19.99,"Try this soft and accessible wine with roast pork, grilled chicken and pizza.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Sutter Home  Sauvignon Blanc,United States,California,N/A,Sauvignon Blanc,Still wine,$12.99,$9.97,"An extremely versatile food wine, it pairs beautifully with shellfish, broiled or pan-fried trout, snapper, sole, herb-roasted chicken, Caesar salad, mild cheeses, ethnic, and vegetarian fare.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Trentadue La Storia Petite Sirah,United States,California,Sonoma County,Petite Sirah,Still wine,$29.99,$22.99,"The Trentadue family arrived in Sonoma County long before the region gained a reputation as the Wine Country. Life-long, hands-on agriculturists, Evelyn and Leo Trentadue contributed significantly to the advancement of their region over the years. In 1959, the Trentadues decided to flee the developers encroaching on their apricot and cherry orchards in Sunnyvale, the area known today around the world as Silicon Valley. To preserve their way of life, these hard-working Italian ranchers purchased 208 acres of land in Sonoma County’s then remote Alexander Valley.There was little market for the region’s dry-farmed apples, prunes, pears, and grapes in the late 1950s, so land was cheap and plentiful. Scores of ranches were for sale but, because it was blessed with an excellent combination of climate, soil, and water, Leo settled on a special piece of property in the heart of the Alexander Valley. Little did he know what this ranch had once been, much less what it was to become.The piece of land, which is now home to Trentadue Winery, has a remarkable history. In 1868, a French botanist named Andrew Bouton established Heart’s Desire Nursery on this excellent site east of the railroad tracks. With a passion for breeding new and improved strains of fruit trees, Bouton devoted himself to plant propagation, becoming a major supplier of young tree stock to orchardists throughout the western United States. His reputation attracted the attention of a young man named Luther Burbank who visited Bouton frequently. Influenced by Bouton, Burbank conducted his own work in nearby Sebastopol and Santa Rosa.Shaping the Trentadue Estate Vineyards and WineryLeo Trentadue has a reputation for openness to new ideas. Over the years, this inveterate tinkerer has been among the first to experiment with what resulted in a number of viticultural/wine industry innovations. An overview of his unheralded achievements: From dry farming to irrigation. Horse drawn plows and dry farming were still practiced when the Trentadues arrived in the Alexander Valley. Leo introduced advanced irrigation practices common to his former home in Santa Clara County.The Trentadues were among the very first to plant new vines in Sonoma County since the days of Prohibition. Italians love their red wines, especially hearty reds like Carignane. In 1962, the Trentadue family began planting new Carignane vines in addition to the 68 acres of old vines already growing on their ranch. Now more than 115 years old, these vines are among the oldest producing Carignane vineyards in America. The family remains steadfastly devoted to this grape, and their wine ranks indisputably among just a handful of top ranked California Carignane. These vines continue to provide valuable character in many of our award winning wines.Understanding the importance of growing only those grape varieties, which excelled in his vineyards, in 1974 Leo installed half-acre blocks of eight different varietals. The quality of the Sangiovese was extraordinary, so all other vines were replanted to this famed variety from Tuscany. Because Evelyn and Leo share a Tuscan heritage, it is not surprising that in 1984 Trentadue was the first producer to release a 100% varietal wine named for this famed grape of Italy. The superior quality of this fruit has produced our most popular Tasting Room wine and has been the backbone for our La Storia Cuvee 32 blend, which is consistently one of the top wines produced from the Trentadue Estate.Leo had produced an incredible, award-winning 1973 Angelica and finally, in 1987, he encouraged his winemaker to experiment with fortified wines. An excellent Petite Sirah Port resulted, among the very first of its kind. The wine was well received, so a Merlot Port and eventually a Zinfandel Port were added to the line. Over the years, Trentadue has become the leading producer of dessert wines in the area, including the wildly popular Chocolate Amore.Connection to Ridge VineyardsThis winery’s story cannot be told without mention of the Trentadues’ remarkable long-term relationship with Paul Draper of Ridge Vineyards. Their personal history began in 1952 when the Trentadues became Paul’s neighbor in Santa Clara, after buying an old abandoned wine estate at the end of Montebello Road. Paul began buying fruit from their ancient vines, striking up a friendship which continues to this day.Both Draper and the Trentadues know a good thing when they see it. Draper was quick to benefit from the Trentadues’ aptitude for viticulture. The Trentadues have similarly benefited from Draper’s wine business savvy. Indeed, it is Draper who encouraged the family to take advantage of their location and establish an estate winery.The list of mutual benefits derived from the Trentadue and Ridge association is extensive: Fruit from the Trentadues’ Geyserville estate has been sold to Ridge Vineyards every vintage since 1967. In 1974, Ridge Vineyard acquired the Trentadues’ mountaintop winery and vineyard today known as Montebello. Victor Trentadue manages not only 99 plus acres of his family’s estate-owned fruit contracted to Ridge, but is also entrusted to manage 188 additional acres of Dry Creek Valley grapes under contract nearby to Draper.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Bolla Bardolino,Italy,Veneto,Bardolino,Red Italian Blend,Still wine,$18.49,$13.99,"This bright ruby red wine has hints of black cherry on the nose.  It is soft and fruit-forward, with black-fruit flavors followed by a bright and fresh finish. Serve it as the Italians do – young and lightly chilled. Pairs perfectly with fleshy fish, beef, lamb, red-sauced pastas and pizza.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Louis Martini Sonoma Valley Cabernet Sauvignon,United States,California,Sonoma County,Cabernet Sauvignon,Still wine,$23.99,$16.99,"For more than 75 years, the Martini family winemakers have crafted world-class Cabernet Sauvignon wines from the exceptional vineyards of Sonoma and Napa counties. Louis M. Martini embodied a simple, honest premise: The best grapes make the best wines. Today, Michael Martini, third-generation winemaker carries on this tradition at the historic winery in Napa Valley with his range of unforgettable Cabernet Sauvignon wines.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 William Hill Cabernet Sauvignon Benchland Series Napa,United States,California,Napa County,Cabernet Sauvignon,Still wine,,$39.99,"William Hill Estate Winery is a special place. In 1978, visionary vineyard developer William Hill saw the incredible potential of the Silverado Bench, where he built his namesake winery. More than three decades later, our winemaker Ralf Holdenried is making modern wines that speak to the unique terroir of this virtually unknown area of southern Napa Valley.A confluence of characteristics makes our 140-acre estate an ideal vineyard. Set on a benchland - off the valley floor, but below the steeper slopes of the hills - with a southwestern exposure, the vines bask in abundant sunlight. The vineyard is close to the valley floor climatically, but the volcanic soil and the size and vigor of the vines means William Hill is more like a mountaintop vineyard. These elements translate to elegant, expressive red Bordeaux wines.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 William Hill Cabernet Sauvignon Benchland Series Napa,click for more details,N/A,N/A,N/A,N/A,$42.99,$34.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Bogle Merlot,United States,California,Yolo County,Merlot,Still wine,$11.99,$8.98,"Hard work, integrity and dedication to the craft have beenpassed down through the generations and are embedded at the core of how we operate the winery today. Farming has always been part of our family’s way of life. In 1968, our grandfather took a chance and planted the Clarksburg region’s first wine grapes. From those first Petite Sirah grapes grew a winery that we-Warren, Jody and Ryan-are proud to be intimately involved with every single day.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Cupcake Pinot Grigio,Italy,Veneto,delle Venezie,Pinot Gris,Still wine,$12.19,$8.86,"Escape to Italy with our Pinot Grigio sourced from Trentino. Full and complex, this wine has a nose that hints of pineapple, pears and sweet lemons. Tropical fruits are integrated with the zest of citrus fruits and give way to a creamy mid-palate. We achieved depth and complexity through a combination of winemaking methods. First, grapes were hand-picked, de-stemmed and crushed prior to undergoing cool fermentation in steel tanks and an extended maceration. A small portion of the wine was made with the traditional passito method: we dried harvested grapes on straw mats for several weeks, then gently pressed and fermented them before blending.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Bota Box Malbec,Argentina,Cuyo,Mendoza,Malbec,Still wine,$26.99,$19.99,"Malbec’s bold profile make it the perfect pairing to red meats as well as spicy Mexican, Cajun, Indian and tomato-based Italian dishes.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Trentadue La Storia Zinfandel,United States,California,Sonoma County,Zinfandel,Still wine,,$23.99,"The Trentadue family arrived in Sonoma County long before the region gained a reputation as the Wine Country. Life-long, hands-on agriculturists, Evelyn and Leo Trentadue contributed significantly to the advancement of their region over the years. In 1959, the Trentadues decided to flee the developers encroaching on their apricot and cherry orchards in Sunnyvale, the area known today around the world as Silicon Valley. To preserve their way of life, these hard-working Italian ranchers purchased 208 acres of land in Sonoma County’s then remote Alexander Valley.There was little market for the region’s dry-farmed apples, prunes, pears, and grapes in the late 1950s, so land was cheap and plentiful. Scores of ranches were for sale but, because it was blessed with an excellent combination of climate, soil, and water, Leo settled on a special piece of property in the heart of the Alexander Valley. Little did he know what this ranch had once been, much less what it was to become.The piece of land, which is now home to Trentadue Winery, has a remarkable history. In 1868, a French botanist named Andrew Bouton established Heart’s Desire Nursery on this excellent site east of the railroad tracks. With a passion for breeding new and improved strains of fruit trees, Bouton devoted himself to plant propagation, becoming a major supplier of young tree stock to orchardists throughout the western United States. His reputation attracted the attention of a young man named Luther Burbank who visited Bouton frequently. Influenced by Bouton, Burbank conducted his own work in nearby Sebastopol and Santa Rosa.Shaping the Trentadue Estate Vineyards and WineryLeo Trentadue has a reputation for openness to new ideas. Over the years, this inveterate tinkerer has been among the first to experiment with what resulted in a number of viticultural/wine industry innovations. An overview of his unheralded achievements: From dry farming to irrigation. Horse drawn plows and dry farming were still practiced when the Trentadues arrived in the Alexander Valley. Leo introduced advanced irrigation practices common to his former home in Santa Clara County.The Trentadues were among the very first to plant new vines in Sonoma County since the days of Prohibition. Italians love their red wines, especially hearty reds like Carignane. In 1962, the Trentadue family began planting new Carignane vines in addition to the 68 acres of old vines already growing on their ranch. Now more than 115 years old, these vines are among the oldest producing Carignane vineyards in America. The family remains steadfastly devoted to this grape, and their wine ranks indisputably among just a handful of top ranked California Carignane. These vines continue to provide valuable character in many of our award winning wines.Understanding the importance of growing only those grape varieties, which excelled in his vineyards, in 1974 Leo installed half-acre blocks of eight different varietals. The quality of the Sangiovese was extraordinary, so all other vines were replanted to this famed variety from Tuscany. Because Evelyn and Leo share a Tuscan heritage, it is not surprising that in 1984 Trentadue was the first producer to release a 100% varietal wine named for this famed grape of Italy. The superior quality of this fruit has produced our most popular Tasting Room wine and has been the backbone for our La Storia Cuvee 32 blend, which is consistently one of the top wines produced from the Trentadue Estate.Leo had produced an incredible, award-winning 1973 Angelica and finally, in 1987, he encouraged his winemaker to experiment with fortified wines. An excellent Petite Sirah Port resulted, among the very first of its kind. The wine was well received, so a Merlot Port and eventually a Zinfandel Port were added to the line. Over the years, Trentadue has become the leading producer of dessert wines in the area, including the wildly popular Chocolate Amore.Connection to Ridge VineyardsThis winery’s story cannot be told without mention of the Trentadues’ remarkable long-term relationship with Paul Draper of Ridge Vineyards. Their personal history began in 1952 when the Trentadues became Paul’s neighbor in Santa Clara, after buying an old abandoned wine estate at the end of Montebello Road. Paul began buying fruit from their ancient vines, striking up a friendship which continues to this day.Both Draper and the Trentadues know a good thing when they see it. Draper was quick to benefit from the Trentadues’ aptitude for viticulture. The Trentadues have similarly benefited from Draper’s wine business savvy. Indeed, it is Draper who encouraged the family to take advantage of their location and establish an estate winery.The list of mutual benefits derived from the Trentadue and Ridge association is extensive: Fruit from the Trentadues’ Geyserville estate has been sold to Ridge Vineyards every vintage since 1967. In 1974, Ridge Vineyard acquired the Trentadues’ mountaintop winery and vineyard today known as Montebello. Victor Trentadue manages not only 99 plus acres of his family’s estate-owned fruit contracted to Ridge, but is also entrusted to manage 188 additional acres of Dry Creek Valley grapes under contract nearby to Draper.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Yellow Tail Red Sangria,Australia,South Eastern Australia,N/A,Non-Varietal Red Blend,Still wine,$9.79,$6.97,"Inspired by the traditions of Spain the [yellow tail] Sangria is a delicious mix of citrus and red wine. The aroma is perfumed and enticing with orange rind, citrus and red berry notes that splashes onto the palate with a soft sweet-citrus flavour and hints of spirit. Finishing clean, light and delightfully refreshing [yellow tail] Sangria is the perfect wine to enjoy on its own, over ice or with your favorite fresh fruit mix.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Stags' Leap Winery Chardonnay,United States,California,Napa County,Chardonnay,Still wine,$27.19,$19.99,"A winery often confused with the Stags Leap Wine Cellars, but owned by the giant Treasuries Wines consortium, they are doing some creative work and making extremely interesting wines. - Robert M. Parker, Jr., 228, The Wine Advocate, 30th Dec 2016",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Ranga Ranga Sauvignon Blanc,New Zealand,Marlborough,N/A,Sauvignon Blanc,Still wine,,$13.99,"Matches well to spicy food - Thai, Japanese, Indian, but works equally well with seafood and fat cheeses.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Dreaming Tree Pinot Noir,United States,California,N/A,Pinot Noir,Still wine,$18.19,$12.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Dark Horse Sauvignon Blanc,United States,California,N/A,Sauvignon Blanc,Still wine,$10.69,$7.99,"At Darkhorse wines, we challenge the belief that premium tasting wines must be premium priced.We search throughout the world’s best growing areas for vineyards that help us achieve the unexpected: To create great wines for the price of good.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Les Darons Languedoc,France,Languedoc Roussillon,Languedoc,"Carignane,Grenache,Syrah",Still wine,,$13.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Suavia  Monte Carbonare Soave Classico DOC,Italy,Veneto,Soave,Garganega,Still wine,$33.99,$29.99,"Serving temperature: 11 - 13 °CRecommended glass: use a slender and rounded glass which offers sufficient volume to support the special characteristics of full-bodied white wines.all fish-based dishes since it is a wine that respects the delicacy of the fish’s flesh and its salinity. It goes also very well with vegetable and truffle risottos. Excellent with medium ripened cow’s milk cheeses.Veneto regional cuisine:Croutons with baccala (salt cod) mantecato, octopus salad with cabbage and lentils, risotto with nettles, tagliatelle with trout and asparagus, grilled fish, Monte Veronese Dop mid-ripened cheese.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Stella Rosa Rosso,Italy,Piedmont,N/A,Non-Varietal Red Blend,Still wine,$14.39,$10.99,"Driven by passion, character, patience, and humility, San Antonio Winery founders Santo Cambianica, Stefano Riboli, and Maddalena Satragni harvested a recipe ripened for success. It’s the same recipe that the Riboli Family continues to nurture today, 100 years later.Inspired by our faith, we believe great things come through hard work and perseverance. We are dedicated to maintaining the excellence and integrity that reflect our family’s legacy, while also taking risks and pursuing innovation in all we do, always looking for ways to ensure the greatest experience and enjoyment for everyone.We respect our humble beginnings  as immigrant farmers, and believe it is our responsibility to be stewards of the land. We are relentless in our commitment to sustainability in our vineyards and wineries, not only for our family, but for our community and future generations.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 19 Crimes The Banished,Australia,South Eastern Australia,N/A,Non-Varietal Red Blend,Still wine,$13.49,$9.99,"Nineteen crimes turned criminals into colonists. Upon conviction British rogues guilty of a least one of the 19 crimes were sentenced to live in Australia, rather than death. This punishment by “transportation” began in 1783 and many of the lawless died at sea. For the rough-hewn prisoners who made it to shore, a new world awaited. As pioneers in a frontier penal colony, they forged a new country and new lives, brick by brick. This wine celebrates the rules they broke and the culture they built.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 90+ Cellars Prosecco,Sparkling,N/A,N/A,N/A,Sparkling,,$9.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 90+ Cellars Prosecco,click for more details,N/A,N/A,N/A,N/A,$18.19,$12.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 19 Crimes The Punishment Pinot Noir,Australia,South Eastern Australia,N/A,Pinot Noir,Still wine,$13.49,$9.99,"Nineteen crimes turned criminals into colonists. Upon conviction, British rogues, guilty of at least one of the 19 crimes, were sentenced to live in Australia, rather than death. For the rough-hewn prisoners who made it to shore, a new world awaited. As pioneers in a frontier penal colony, they forged a new country and new lives, brick by brick. This wine is borne of the rules they broke and the culture they built. And like our legendary rogues, it’s a taste that’ll live forever in infamy.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Tom Gore Cabernet Sauvignon,United States,California,Sonoma County,Cabernet Sauvignon,Still wine,$13.69,$9.99,Our Cabernet Sauvignon is dark red in color with aromas of currant and plum and wonderful hints of mocha and coffee on the palate. This wine is fruit forward with a supple mouthfeel and medium body.,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Wither Hills Sauvignon Blanc,New Zealand,Marlborough,N/A,Sauvignon Blanc,Still wine,$13.99,$10.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Wither Hills Sauvignon Blanc,click for more details,N/A,N/A,N/A,N/A,$18.19,$12.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Bonterra Organic Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,,$13.99,"At Bonterra, we take our cues from the land and the fruit. We let them tell us what to do.Our holistic approach to winemaking took root in 1987 when we were experimenting with wine and food pairings. The fruits, vegetables and herbs we used came from our extensive organic garden. The purity, intensity and freshness of the flavors were amazing. From that point on, we committed ourselves to growing grapes organically.Over the years, we've evolved our philosophy based on what we know works. Today our vineyard is an environment of incredible diversity: soil, plants and animals work together to create a web of natural balance where all the elements thrive.Decades of learning and winemaking accolades have reinforced our passionate belief that our organic grapes make better wine.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Clos du Bois Chardonnay,United States,California,N/A,Chardonnay,Still wine,$13.99,$10.99,14.1% abv,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Clos du Bois Chardonnay,click for more details,N/A,N/A,N/A,N/A,$18.19,$12.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Mc Manis Cabernet Sauvignon,United States,California,N/A,Cabernet Sauvignon,Still wine,,$10.99,"The fruit for the 2008 vintage was picked between September 13th and October 14th, 2008, with an average Brix at Harvest of 25.52. After 7-9 days of fermentation on the skins, the resulting wine was pressed and finished fermentation in Stainless Steel tanks. The wine was then aged on new and used French and American Oak for 4-6 months.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Stag's Leap Cellars Cabernet Sauvignon Artemis,United States,California,Napa County,Cabernet Sauvignon,Still wine,$81.19,$54.99,"The heart of the ARTEMIS blend is composed of fruit from our estate vineyards. Cabernet Sauvignon from ARCADIA VINEYARD gives the wine tannin and structural support. FAY contributes a generous perfume, while the wine’s complexity and concentration benefit from a small but significant addition of S.L.V. fruit. Then, to complement our estate fruit’s distinctive qualities of flavor and structure, we turn to independent Napa Valley growers whose vineyards meet our rigorous farming standards.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Gabbiano Chianti Classico,Italy,Tuscany,Chianti,Sangiovese,Still wine,,$12.99,"This wine is clear, bright and ruby-red in color.  The bouquet is reminiscent of ripe plums spiced with pepper and wood nuances.  The first sip reveals invigorating flavors of sour cherry, blackberry, and spice followed by a dry vivid finish.  This Chianti is bold enough to complement rich and spicy pasta dishes, and is also perfect with tangy chicken or gourmet pizza.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Cavit         Pinot Grigio,Italy,Trentino-Alto Adige,Trevenezie,Pinot Gris,Still wine,$21.19,$14.99,"The grapes are carefully selected and then vinified utilizing the most advanced technology. Cold fermentation in state-of-the-art, thermo-conditioned tanks preserves the natural fruit and inimitablefreshness of the wine.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Duck Pond Pinot Noir Willamette Vally,United States,Oregon,Willamette Valley,Pinot Noir,Still wine,$21.99,$19.99,"In an era of significant corporate ownership in the Northwest wine industry, our wineries and vineyards remain a close-knit family operation run by two generations of a Northwest farming family. Originally from California’s Central Valley, lifelong farmers Doug and Jo Ann Fries (pronounced “Frees”) moved their young family to the Northwest in the early 1980s. In 1984, they purchased property along the banks of the Willamette River in Dundee, Oregon, where they planted a 500-acre hazelnut orchard. As devoted wine aficionados, they also planted a small 13-acre vineyard with the hope of producing a few hundred cases of their own wine. On Memorial Day Weekend of 1993, the family opened the doors to their first winery venture, Duck Pond Cellars, in Dundee, Oregon. The tasting room was run by Doug and Jo Ann’s daughter Lisa; son Greg took over winemaking after earning his enology degree from UC Davis in 1994. Over the past two decades, the family has grown the brand into one of the leading producers of Oregon Pinot Noir and Pinot Gris. The Fries family has always been passionate about full-bodied red wines such as Cabernet Sauvignon, Merlot and Syrah. This love prompted their 1992 acquisition of a 540-acre parcel of land on Eastern Washington’s Wahluke Slope, an area particularly suited to growing hot-climate varietals. The family dubbed the site Desert Wind Vineyard and spent three years planting Chardonnay, Cabernet Sauvignon, Merlot, Syrah and a handful of other varieties. In 2001, they launched the Desert Wind brand to showcase their handcrafted wines from these vineyard sites. The Desert Wind facility in Prosser, Washington, is a destination unto itself. Perched on a bluff overlooking the Yakima River, its Southwest-inspired exterior houses a tasting room, event space, restaurant area and four overnight guest rooms. Ever the hard workers, family members were very involved throughout the entire process of designing and building the facility. Today the family remains active in all winery operations. Although they say they are semi-retired, Doug and Jo Ann oversee much of the vineyard operations, often putting in long hours during the growing season. Son Greg is president of the company and oversees the winemaking team, cellar crew and vineyard workers. His wife Amber serves as director of communications, handling print and interactive media as well as the company’s extensive charitable giving program. Vice President Lisa (Fries) Jenkins manages day-to-day winery operations. Her husband Scott is vice president of sales, spending much of his time on the road representing the family’s wines. Erin Fries handles purchasing and merchandising for the retail shop/tasting rooms",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 La Crema Monterey Chardonnay,United States,California,Monterey County,Chardonnay,Still wine,$19.99,$15.99,"THE SERIES: MONTEREYFrom our home in the Russian River Valley, La Crema has pioneered cool-climate artisan winemaking. This has led to our exploration of California’s finest coastal growing regions where cooling ocean wind and fog allow the grapes to ripen slowly on the vine, developing complex aromas and flavors. Our quest has drawn us north into the rugged hills of Mendocino and south along the wind-swept slopes of Los Carneros. Our Monterey wines originate on the cool benchlands of this coastal appellation, where beautifully textured Chardonnay makes a natural addition to our portfolio.THE PLACE: MONTEREYThe vineyards of Monterey are defined by persistent ocean winds that are funneled down a 90-mile-long valleyrunning north to south between the Santa Lucia and Gabilan Mountains. These strong winds combine with abundant sun and scarce rainfall to give this wine region one of the longest, coolest growing seasons in California. The coolest vineyards are at the northernmost tip of the valley, where Chardonnay develops remarkable aromatic and textural complexity with crisp, firm structural elements. A variety of clones – Clone 4, Dijon and Rued – were chosen for this release to emphasize Monterey Chardonnay’s natural complexity and intense aromatics.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Chateau St. Michelle Chardonnay,United States,Washington,Columbia Valley,Chardonnay,Still wine,$13.99,$9.99,"Founded in 1934, Chateau Ste. Michelle pioneered vinifera grape growing in Washington state and has been producing classic European varietal wines under the Ste. Michelle label since 1967. The winery combines an ongoing dedication to research with a commitment to classic winemaking traditions. The winery owns 3,500 acres of vineyards in the Columbia Valley of eastern Washington, including Canoe Ridge Estate and Cold Creek, which are the largest sustainably farmed and LIVE and Salmon Safe certified vineyards in the state.Chateau Ste. Michelle enjoys winemaking partnerships with three of the world’s most distinguished vintners. Col Solare is an alliance with Tuscany’s Piero Antinori, Eroica Riesling is a partnership with the Mosel’s Ernst Loosen, and Tenet, a project with acclaimed Rhone winemaker Michel Gassier, with the assistance of Southern Rhone’s famous enology consultant, Philippe Cambie",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Cook S        4-Pack Brut,United States,California,N/A,Champagne Blend,Sparkling,,$11.99,N/A,Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Alamos Malbec,Argentina,Cuyo,Mendoza,Malbec,Still wine,$13.59,$9.99,"Alamos is the number one Argentinean exported brand. In the last few years, they have lowered the oak in search of drinkable wines that do not pretend to have great complexity but rather provide drinking pleasure.- Luis Gutierrez, 237, The Wine Advocate, 29th Jun 2018",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
 Veuve Clicquot Rose,France,Champagne,N/A,Champagne Blend,Sparkling,$87.79,$59.99,"Each Cuvee is true to the Veuve Clicquot style and spirit, faithfully maintained from the time when Madame Clicquot was running the House under the motto, ”Only one quality, the finest”. Created with a majority of Pinot Noir in the blend, the Veuve Clicquot Champagne style is noted for a firm structure, full-bodied texture and rich aromas.",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
